datahora;satelite;pais;estado;municipio;bioma;diasemchuva;precipitacao;riscofogo;latitude;longitude;frp;latitude1;longitude2
24/08/2021 16:43;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;32;0;1;-1.594.109;-4.814.801;119,3;-15,94109;-48,14801
24/08/2021 16:43;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;32;0;1;-1.570.608;-4.766.766;17;-15,70608;-47,66766
24/08/2021 16:43;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;32;0;-999;-1.565.332;-4.819.957;19,9;-15,65332;-48,19957
24/08/2021 16:43;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;32;0;-999;-1.565.131;-4.819.438;28,7;-15,65131;-48,19438
24/08/2021 16:43;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;32;0;1;-1.564.325;-4.820.105;388,2;-15,64325;-48,20105
24/08/2021 16:43;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;32;0;1;-156.417;-4.818.925;245,6;-15,6417;-48,18925
25/08/2021 17:26;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;33;0;1;-1.577.807;-4.766.196;104,9;-15,77807;-47,66196
25/08/2021 17:26;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;33;0;1;-1.577.523;-476.698;69,9;-15,77523;-47,6698
25/08/2021 17:26;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;33;0;1;-1.577.319;-4.763.591;27,2;-15,77319;-47,63591
25/08/2021 17:26;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;33;0;1;-1.577.054;-4.764.381;71,6;-15,77054;-47,64381
26/08/2021 16:33;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;34;0;1;-1.559.345;-4.785.731;66,1;-15,59345;-47,85731
27/08/2021 17:15;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;35;0;1;-15.528;-4.788.119;33,2;-15,528;-47,88119
